Lookup;Reference
BULGIN-ELEKTRON;WURTH ELEKTRONIK
BURR-BROWN / TEXAS;BURR BROWN
BURTON;BOURNS
BUSAK+SHAMBAN;BRABANT
CADDOCK;CAMLOC
CAMBION;CABOT
CANNON;CATO
CAOUTCHOUC D'ARGENTEUIL;VEBER CAOUTCHOUC
CAPRI;CARLISLE
CARPENTER FRANCE;PETERCEM
CASTOLIN;CASTROL
CAVOTEC RMS S.A.;CANTHERM
CCB COMPOSANT S.A;NIC COMPONENTS
CDI;CODI
CDIL;CILS
CEFILAC;FILPACK
CELDUC;LEDUC
CELM;ELMA
CEM (DIMACEL);SEMICONWELL
CENTRAL SEMICONDUCTOR CORP.;CENTRAL SEMICONDUCTOR CORP
CERBERUS;HERAEUS
CERCLEUROP;HPCEUROPE
CFPI;ECOFIT
CGCE;CCIE
CHANET PEINTURES;TECHNI INDUSTRIES
CHAPELLET ILE DE FRANCE;CHAPELLET
CHAUVIN ARNOUX;AVK AERO
CHAVANOZ INDUSTRIE;TECHNI INDUSTRIES
CHEMFAB FRANCE;FIBRO FRANCE
CHEMTRONICS (GROUPE ITW);CHEMTRONICS
CHILISIN ELECTRONICS CORP.;ABC TAIWAN ELECTRONICS CORP
CHOMERICS / ACOFAB;CHOMERICS
CKB;C&K
CLAL-MSX-SA;CALMARK
CLAMAGIRAND;LEGRAND
CLARE;CALMARK
CMAC;C-MAC
CMP FRANCE;FIBRO FRANCE
CMP M & M;COMPELMA
COATED PRODUCTS HANS KOLB WELLPAPPE;FAIR-RITE PRODUCTS CORP
COATES LORILLEUX SCREEN;MILLER STEPHENSON
COLOREY;COLE
COMASEC;C-MAC
COMATEC;MAYTEC
COMATEL / PRONER / KONTEK;STELVIO KONTEK SPA
COMEPA;COMPELMA
COMPAGNIE GENERALE DES PLASTIQUES;COMPENSATED DEVICES
COMPTOIR LYON-ALEMAND LOUYOT;COMPUTER COMP
COMPUTER PRODUCTS;MAJR PRODUCTS
COMUTEC;COMPUTER COMP
CONNECTRAL / FCI;CONNECTRAL
COOKSON ELECTRONICS ASSEMBLY;COOKSON ELECTRONICS
COOPER BUSSMANN;POPPELMANN
COOPER INDUSTRIES;CRC INDUSTRIES
COREL / LCC / AVX;CORNELL DUBILIER ELECTRONICS INC
Cornell Dubilier Electronics, Inc.;Standex Electronics
CORNU ELMBALLAGE;LYONDELLBASELL
